model,label,precision,recall,f1,support
tfidf_logreg,alt.atheism,0.468013468013468,0.43573667711598746,0.4512987012987013,319
tfidf_logreg,comp.graphics,0.564935064935065,0.6709511568123393,0.6133960047003525,389
tfidf_logreg,comp.os.ms-windows.misc,0.644808743169399,0.5989847715736041,0.6210526315789474,394
tfidf_logreg,comp.sys.ibm.pc.hardware,0.6547945205479452,0.6096938775510204,0.631439894319683,392
tfidf_logreg,comp.sys.mac.hardware,0.7028571428571428,0.638961038961039,0.6693877551020408,385
tfidf_logreg,comp.windows.x,0.7891566265060241,0.6632911392405063,0.7207702888583218,395
tfidf_logreg,misc.forsale,0.7775,0.7974358974358975,0.7873417721518987,390
tfidf_logreg,rec.autos,0.6829896907216495,0.6691919191919192,0.6760204081632653,396
tfidf_logreg,rec.motorcycles,0.6834862385321101,0.7487437185929648,0.7146282973621103,398
tfidf_logreg,rec.sport.baseball,0.49096385542168675,0.8211586901763224,0.6145146088595664,397
tfidf_logreg,rec.sport.hockey,0.8811369509043928,0.8546365914786967,0.8676844783715013,399
tfidf_logreg,sci.crypt,0.8248407643312102,0.6540404040404041,0.7295774647887324,396
tfidf_logreg,sci.electronics,0.5273159144893111,0.5648854961832062,0.5454545454545454,393
tfidf_logreg,sci.med,0.7420212765957447,0.7045454545454546,0.7227979274611399,396
tfidf_logreg,sci.space,0.6880952380952381,0.733502538071066,0.7100737100737101,394
tfidf_logreg,soc.religion.christian,0.6349206349206349,0.8040201005025126,0.7095343680709535,398
tfidf_logreg,talk.politics.guns,0.5627802690582959,0.6895604395604396,0.6197530864197531,364
tfidf_logreg,talk.politics.mideast,0.8374233128834356,0.726063829787234,0.7777777777777778,376
tfidf_logreg,talk.politics.misc,0.5913461538461539,0.3967741935483871,0.4749034749034749,310
tfidf_logreg,talk.religion.misc,0.5571428571428572,0.1553784860557769,0.24299065420560748,251
llm_classifier,alt.atheism,0.2805755395683453,0.12225705329153605,0.1703056768558952,319
llm_classifier,comp.graphics,0.5,0.12853470437017994,0.20449897750511248,389
llm_classifier,comp.os.ms-windows.misc,0.3076923076923077,0.030456852791878174,0.05542725173210162,394
llm_classifier,comp.sys.ibm.pc.hardware,0.15384615384615385,0.08163265306122448,0.10666666666666667,392
llm_classifier,comp.sys.mac.hardware,0.64,0.04155844155844156,0.07804878048780488,385
llm_classifier,comp.windows.x,0.42857142857142855,0.02278481012658228,0.04326923076923077,395
llm_classifier,misc.forsale,0.44508670520231214,0.19743589743589743,0.27353463587921845,390
llm_classifier,rec.autos,0.1925601750547046,0.4444444444444444,0.2687022900763359,396
llm_classifier,rec.motorcycles,0.5576923076923077,0.0728643216080402,0.1288888888888889,398
llm_classifier,rec.sport.baseball,0.3945578231292517,0.43828715365239296,0.4152744630071599,397
llm_classifier,rec.sport.hockey,0.8571428571428571,0.3609022556390977,0.5079365079365079,399
llm_classifier,sci.crypt,0.5757575757575758,0.2878787878787879,0.3838383838383838,396
llm_classifier,sci.electronics,0.12802768166089964,0.37659033078880405,0.19109102646868947,393
llm_classifier,sci.med,0.40512820512820513,0.398989898989899,0.4020356234096692,396
llm_classifier,sci.space,0.8265895953757225,0.3629441624365482,0.5044091710758377,394
llm_classifier,soc.religion.christian,0.10714285714285714,0.29396984924623115,0.15704697986577182,398
llm_classifier,talk.politics.guns,0.18867924528301888,0.054945054945054944,0.0851063829787234,364
llm_classifier,talk.politics.mideast,0.0,0.0,0.0,376
llm_classifier,talk.politics.misc,0.08,0.0064516129032258064,0.011940298507462687,310
llm_classifier,talk.religion.misc,0.09090909090909091,0.00796812749003984,0.014652014652014652,251
